State,Id,24_Pres,20_Pres,20-24_Pres,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct
CA,26,0.13158949,0.19613841,0.153105796666667,0.45587378,0.54412622,0.02711604,0.39754513,0.00527455,0.10541946,0.03491195
CA,27,0.04166958,0.1320596,0.0717995866666667,0.34871329,0.65128671,0.11453524,0.43341148,0.00479897,0.09369471,0.03713808
CA,28,0.24710931,0.34834561,0.280854743333333,0.17163216,0.82836784,0.0269543,0.27206985,0.00372111,0.52968124,0.02029168
CA,29,0.30238996,0.475131,0.359970306666667,0.22283788,0.77716212,0.04906488,0.61416149,0.00320922,0.11144853,0.03663211
CA,30,0.40474251,0.45261775,0.420700923333333,0.58861442,0.41138558,0.06099195,0.19295367,0.00350151,0.1476133,0.02015352
CA,31,0.17104692,0.29807183,0.213388556666667,0.19977311,0.80022689,0.03508223,0.54970192,0.00397053,0.21360221,0.03617651
CA,32,0.30629696,0.39610029,0.336231403333333,0.57238191,0.42761809,0.05954861,0.20816501,0.00393331,0.1490023,0.01950669
CA,33,0.11881359,0.29712253,0.178249903333333,0.18134347,0.81865653,0.1149922,0.61037444,0.00572353,0.0897163,0.03941627
CA,34,0.53139706,0.6371241,0.566639406666667,0.1780579,0.8219421,0.06749161,0.51641953,0.00354892,0.23698238,0.04085161
CA,35,0.05096808,0.1906198,0.0975186533333333,0.2336729,0.7663271,0.07517226,0.51975921,0.00533762,0.16705987,0.03576951
CA,36,0.34217617,0.39996428,0.361438873333333,0.57939305,0.42060695,0.0448163,0.14122355,0.00564318,0.21819301,0.01703716
CA,37,0.62565501,0.73502815,0.662112723333333,0.18866469,0.81133531,0.23557783,0.47372198,0.003632,0.10011995,0.03608742
CA,38,0.22335273,0.37909334,0.275266266666667,0.14541386,0.85458614,0.02939541,0.7199688,0.00405887,0.1027466,0.04327761
CA,39,0.10624562,0.27578745,0.162759563333333,0.21809415,0.78190585,0.10377052,0.594183,0.00655928,0.07648876,0.03915134
CA,40,-0.02545586,0.01263973,-0.01275733,0.56015753,0.43984247,0.02303249,0.20199132,0.00532943,0.19925738,0.02105918
CA,41,-0.07319575,0.00952413,-0.0456224566666667,0.38640405,0.61359595,0.07446688,0.41338697,0.0071872,0.11160106,0.03503043
CA,42,0.30128149,0.41835272,0.340305233333333,0.23954368,0.76045632,0.07925988,0.56172676,0.0076959,0.11265326,0.03889816
CA,43,0.34337114,0.52024897,0.402330416666667,0.11089844,0.88910156,0.10665544,0.66586304,0.01098577,0.11255624,0.04125505
CA,44,0.53416529,0.67712194,0.581817506666667,0.05782188,0.94217812,0.31732002,0.53557719,0.0086642,0.08922328,0.03470396
CA,45,0.01662538,0.06524709,0.0328326166666667,0.27866892,0.72133108,0.02929153,0.27056427,0.00810135,0.41209894,0.02267684
CA,46,0.18077945,0.30440778,0.221988893333333,0.1727339,0.8272661,0.02577293,0.61843801,0.00645878,0.17695223,0.04368615
CA,47,0.0405149,0.10847016,0.0631666533333333,0.53343617,0.46656383,0.02421189,0.15944722,0.00598209,0.26666623,0.01790089
CA,48,-0.19988805,-0.16994937,-0.18990849,0.58830187,0.41169813,0.04947313,0.2395264,0.00948334,0.09392252,0.03931524
CA,49,0.08241416,0.1157103,0.0935128733333333,0.57006793,0.42993207,0.03563637,0.28329843,0.01006276,0.09018088,0.03047336
CA,50,0.22281374,0.25770834,0.234445273333333,0.55238329,0.44761671,0.03613832,0.18963816,0.00696777,0.20436818,0.01976504
CA,51,0.36232403,0.4007468,0.37513162,0.49280685,0.50719315,0.07787972,0.24238825,0.00937922,0.17235033,0.02621668
CA,52,0.18633177,0.33817059,0.23694471,0.17222363,0.82777637,0.09256267,0.56487251,0.01159743,0.17219954,0.0326707
CO,1,0.56285239,0.61503816,0.580247646666667,0.58791082,0.41208918,0.09704478,0.24424493,0.00358642,0.05219916,0.03341135
CO,2,0.3941878,0.39406851,0.394148036666667,0.78657968,0.21342032,0.01619734,0.12369672,0.00248284,0.04608871,0.02348376
CO,3,-0.09731519,-0.08293315,-0.0925211766666667,0.70164356,0.29835644,0.01487227,0.22727305,0.00257631,0.01433415,0.04850855
CO,4,-0.27226404,-0.27631219,-0.273613423333333,0.72969143,0.27030857,0.02224892,0.19250656,0.00284916,0.02586204,0.03230033
