id,NAME,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,color,opacity
"4","4","721308","-0.0005629","0.33771997","0.63710168","0.72317421","0.27682579","0.04631869","0.16436061","0.00554921","0.03627909","0.03377974","544942","-0.29938171",#960018,"0.5"
"5","5","722002","0.0003987","0.58006386","0.3934219","0.71197443","0.28802557","0.02848643","0.18342998","0.00265313","0.05181253","0.03083012","568762","0.18664196",#2020ff,"0.5"
"6","6","720951","-0.00105755","0.55082965","0.42028836","0.60168046","0.39831954","0.12113568","0.17474189","0.00497181","0.08299407","0.02865563","546280","0.13054129",#2020ff,"0.5"
"7","7","722699","0.00136446","0.5641962","0.40736865","0.77527656","0.22472344","0.02028898","0.13124804","0.00230755","0.04197207","0.03112026","584603","0.15682755",#2020ff,"0.5"
"8","8","721948","0.00032388","0.55531418","0.41606688","0.70197642","0.29802358","0.0203451","0.20445964","0.00281913","0.045106","0.03285653","561167","0.1392473",#2020ff,"0.5"
"1","1","721508","0.0004426","0.57890022","0.40136775","0.55031295","0.44968705","0.19250042","0.19964479","0.00155646","0.05073736","0.01549485","573739","0.17753247",#2020ff,"0.5"
"2","2","720454","-0.00101887","0.56898673","0.41408264","0.63288364","0.36711636","0.14892738","0.15285607","0.00214576","0.0528993","0.02228746","576019","0.15490409",#2020ff,"0.5"
"3","3","720911","-0.0003852","0.55334001","0.43068489","0.7037294","0.2962706","0.10747639","0.14260298","0.00171871","0.03772537","0.01579282","579504","0.12265512",#2020ff,"0.5"
"4","4","721742","0.00076707","0.56298969","0.42113861","0.68853163","0.31146837","0.06991383","0.15699121","0.00101203","0.0645686","0.01135149","561248","0.14185108",#2020ff,"0.5"
"5","5","721329","0.0001944","0.55905546","0.42363797","0.75901174","0.24098826","0.0716205","0.09910371","0.0010385","0.05709526","0.01286639","578717","0.13541749",#2020ff,"0.5"
"1","1","989948","0","0.56567569","0.41948412","0.62437671","0.37562329","0.22762886","0.08666531","0.001349","0.04834195","0.01994402","783543","0.14619157",#2020ff,"0.5"
"1","1","769447","0.00029613","0.30669747","0.67855003","0.71943891","0.28056109","0.13951015","0.06546959","0.00378344","0.04174174","0.03208083","605533","-0.37185256",#960018,"0.5"
"2","2","769946","0.00094484","0.54096444","0.4424246","0.58881499","0.41118501","0.26077677","0.08731897","0.00154091","0.04777153","0.01794419","623656","0.09853984",#2020ff,"0.5"
"3","3","769723","0.00065493","0.25159669","0.73759908","0.79577159","0.20422841","0.08244105","0.07504476","0.00185426","0.01904842","0.02540747","626666","-0.48600239",#960018,"0.5"
"4","4","769105","-0.00014848","0.54180634","0.44151614","0.45534439","0.54465561","0.36119775","0.11029719","0.00288582","0.06316766","0.01906825","596017","0.1002902",#2020ff,"0.5"
"5","5","769567","0.00045213","0.33134116","0.65514503","0.77958875","0.22041125","0.08236504","0.0754051","0.00215649","0.0399792","0.01872988","611643","-0.32380387",#960018,"0.5"
"6","6","768976","-0.00031618","0.30382759","0.68562041","0.72866905","0.27133095","0.11755308","0.10963806","0.00208103","0.02191791","0.02265686","618444","-0.38179282",#960018,"0.5"
"7","7","769521","0.00039233","0.53770575","0.44585747","0.43598347","0.56401653","0.27820024","0.22194809","0.00239342","0.0558281","0.01745959","596635","0.09184828",#6868ff,"0.5"
"8","8","769132","-0.00011338","0.37855961","0.60866434","0.73083013","0.26916987","0.10706166","0.11617805","0.00190017","0.02515752","0.02150372","634681","-0.23010473",#960018,"0.5"
"10","10","769949","0.00094874","0.53144296","0.45102217","0.50434236","0.49565764","0.12586626","0.2760648","0.0028398","0.07297392","0.01756258","610958","0.08042079",#7676ff,"0.5"
"11","11","768594","-0.00081279","0.35900076","0.63019612","0.70240301","0.29759699","0.11307921","0.14474415","0.0016167","0.02280695","0.01925556","635245","-0.27119536",#960018,"0.5"
"12","12","768426","-0.00103119","0.37647285","0.60946927","0.69614597","0.30385403","0.07190212","0.17136935","0.00173491","0.04344005","0.01987278","609829","-0.23299642",#960018,"0.5"
"13","13","769029","-0.00024728","0.50329219","0.48257262","0.69826216","0.30173784","0.12470082","0.12538842","0.00140455","0.03397967","0.01624584","647181","0.02071957",#c3c3ff,"0.5"
"14","14","769471","0.00032733","0.55042891","0.4293092","0.43618213","0.56381787","0.24372628","0.25661726","0.00239475","0.06367945","0.01845262","599644","0.12111971",#2020ff,"0.5"
"15","15","769322","0.00013362","0.37549692","0.61185205","0.59971276","0.40028724","0.11573526","0.24135504","0.00199648","0.03172602","0.02238154","592542","-0.23635513",#960018,"0.5"
"16","16","768510","-0.00092199","0.41823327","0.56858509","0.71141356","0.28858644","0.06311036","0.16603914","0.00187013","0.04285603","0.01754007","643270","-0.15035182",#ff2020,"0.5"
"17","17","769239","2.572e-05","0.33532471","0.65451382","0.81978745","0.18021255","0.04079424","0.09912611","0.00118371","0.02149255","0.0145254","651342","-0.31918911",#960018,"0.5"
