id,NAME,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,color,opacity
"12","12","759576","-0.00064481","0.84420333","0.10766454","0.35135767","0.64864233","0.17913726","0.20998915","0.00930198","0.24900848","0.0303797","620513","0.73653879",#00008b,"0.5"
"13","13","759698","-0.00048429","0.47026958","0.50264915","0.28045777","0.71954223","0.04031481","0.59061255","0.00828626","0.07058285","0.05087606","548136","-0.03237957",#ffb4b4,"0.5"
"14","14","760504","0.00057614","0.6595782","0.30212069","0.28011655","0.71988345","0.06783372","0.23675643","0.01964623","0.39808698","0.02617241","591004","0.35745751",#00008b,"0.5"
"15","15","760488","0.00055509","0.7229354","0.24188397","0.30559795","0.69440205","0.03711858","0.24310523","0.01745436","0.39509927","0.02138064","609991","0.48105143",#00008b,"0.5"
"16","16","760306","0.00031564","0.75066221","0.21162333","0.56534641","0.43465359","0.02727701","0.15300889","0.00705052","0.23272589","0.02202128","613997","0.53903888",#00008b,"0.5"
"17","17","760213","0.00019328","0.66448282","0.29070772","0.21903296","0.78096704","0.02350372","0.13004153","0.00675167","0.61920279","0.01449374","601777","0.3737751",#00008b,"0.5"
"18","18","759555","-0.00067244","0.65985348","0.30511024","0.26478255","0.73521745","0.03753187","0.33850353","0.00796258","0.35148635","0.03169421","595787","0.35474324",#00008b,"0.5"
"19","19","760608","0.00071297","0.59688031","0.37347183","0.36017399","0.63982601","0.02813284","0.51699739","0.00819661","0.08109472","0.04688864","572676","0.22340848",#00008b,"0.5"
"20","20","760586","0.00068402","0.32783379","0.64948059","0.49233259","0.50766741","0.04282806","0.37018167","0.00458694","0.065459","0.04543775","562902","-0.3216468",#960018,"0.5"
"21","21","760283","0.00028537","0.51773363","0.45544618","0.24762741","0.75237259","0.06468646","0.54793516","0.00417884","0.12918322","0.0419892","542973","0.06228745",#8d8dff,"0.5"
"22","22","759386","-0.00089479","0.46280698","0.51052199","0.18611294","0.81388706","0.05910448","0.69182406","0.00354115","0.05237739","0.0404895","543326","-0.04771501",#ffa0a0,"0.5"
"23","23","760206","0.00018407","0.38926134","0.58506648","0.45378666","0.54621334","0.09436775","0.37291309","0.00751788","0.05505196","0.04418517","568245","-0.19580514",#960018,"0.5"
"24","24","760529","0.00060903","0.6054659","0.36321012","0.54479181","0.45520819","0.02558482","0.33608189","0.00465535","0.07280312","0.03812159","612199","0.24225578",#00008b,"0.5"
"25","25","759359","-0.00093031","0.5341225","0.44441039","0.33102439","0.66897561","0.04812359","0.56770992","0.0036294","0.04177725","0.03711623","587425","0.08971211",#6a6aff,"0.5"
"26","26","759445","-0.00081716","0.55166788","0.42007839","0.45587378","0.54412622","0.02711604","0.39754513","0.00527455","0.10541946","0.03491195","586590","0.13158949",#2020ff,"0.5"
"27","27","760672","0.00079717","0.50617852","0.46450894","0.34871329","0.65128671","0.11453524","0.43341148","0.00479897","0.09369471","0.03713808","570331","0.04166958",#a7a7ff,"0.5"
"28","28","759688","-0.00049745","0.60661981","0.3595105","0.17163216","0.82836784","0.0269543","0.27206985","0.00372111","0.52968124","0.02029168","622127","0.24710931",#00008b,"0.5"
"29","29","760105","5.118e-05","0.63531718","0.33292722","0.22283788","0.77716212","0.04906488","0.61416149","0.00320922","0.11144853","0.03663211","591421","0.30238996",#00008b,"0.5"
"30","30","759716","-0.00046061","0.6860956","0.28135309","0.58861442","0.41138558","0.06099195","0.19295367","0.00350151","0.1476133","0.02015352","641724","0.40474251",#00008b,"0.5"
"31","31","759802","-0.00034746","0.57032403","0.39927711","0.19977311","0.80022689","0.03508223","0.54970192","0.00397053","0.21360221","0.03617651","597653","0.17104692",#2020ff,"0.5"
"32","32","759469","-0.00078558","0.63856585","0.33226889","0.57238191","0.42761809","0.05954861","0.20816501","0.00393331","0.1490023","0.01950669","619326","0.30629696",#00008b,"0.5"
