id,Type,EV,DemPct,RepPct,Margin
Alabama,Pres,9,36.84,62.46,-25.62
Alaska,Pres,3,35.52,61.07,-25.55
Arizona,Pres,10,44.32,54.77,-10.45
Arkansas,Pres,6,44.55,54.31,-9.76
California,Pres,55,54.3,44.36,9.94
Colorado,Pres,9,47.02,51.69,-4.67
Connecticut,Pres,7,54.31,43.95,10.36
D.C.,Pres,3,89.18,9.34,79.84
Delaware,Pres,3,53.34,45.74,7.6
Florida,Pres,27,47.09,52.1,-5.01
Georgia,Pres,15,41.34,57.93,-16.59
Hawaii,Pres,4,54.01,45.26,8.75
Idaho,Pres,4,30.26,68.38,-38.12
Illinois,Pres,21,54.82,44.48,10.34
Indiana,Pres,11,39.26,59.94,-20.68
Iowa,Pres,7,49.23,49.9,-0.67
Kansas,Pres,6,36.62,62,-25.38
Kentucky,Pres,8,39.68,59.54,-19.86
Louisiana,Pres,9,42.22,56.72,-14.5
Maine,Pres,2,53.57,44.58,8.99
ME-1,Pres,1,55.07,43.14,11.93
ME-2,Pres,1,51.95,46.13,5.82
Maryland,Pres,10,55.91,42.93,12.98
Massachusetts,Pres,12,61.94,36.78,25.16
Michigan,Pres,17,51.23,47.81,3.42
Minnesota,Pres,10,51.09,47.61,3.48
Mississippi,Pres,6,39.75,59.44,-19.69
Missouri,Pres,11,46.1,53.3,-7.2
Montana,Pres,3,38.56,59.07,-20.51
NE-1,Pres,1,35.7,62.97,-27.27
NE-2,Pres,1,38.52,60.24,-21.72
NE-3,Pres,1,23.73,74.92,-51.19
Nebraska,Pres,2,32.68,65.9,-33.22
Nevada,Pres,5,47.88,50.47,-2.59
New Hampshire,Pres,4,50.24,48.87,1.37
New Jersey,Pres,15,52.92,46.23,6.69
New Mexico,Pres,5,49.05,49.84,-0.79
New York,Pres,31,58.36,40.08,18.28
North Carolina,Pres,15,43.58,56.02,-12.44
North Dakota,Pres,3,35.5,62.86,-27.36
Ohio,Pres,20,48.71,50.81,-2.1
Oklahoma,Pres,7,34.43,65.57,-31.14
Oregon,Pres,7,51.35,47.19,4.16
Pennsylvania,Pres,21,50.92,48.42,2.5
Rhode Island,Pres,4,59.42,38.67,20.75
South Carolina,Pres,8,40.9,57.98,-17.08
South Dakota,Pres,3,38.44,59.91,-21.47
Tennessee,Pres,11,42.51,56.81,-14.3
Texas,Pres,34,38.22,61.09,-22.87
Utah,Pres,5,26,71.54,-45.54
Vermont,Pres,3,58.94,38.8,20.14
Virginia,Pres,13,45.48,53.68,-8.2
Washington,Pres,11,52.77,45.6,7.17
West Virginia,Pres,5,43.2,56.06,-12.86
Wisconsin,Pres,10,49.7,49.32,0.38
Wyoming,Pres,3,29.07,68.86,-39.79
Alabama,Senate,1,32.35,67.55,-35.19
Alaska,Senate,1,45.55,48.58,-3.03
Arizona,Senate,1,20.62,76.74,-56.12
