id,Type,EV,DemPct,RepPct,Margin
Alabama,Pres,9,38.74,60.32,-21.58
Alaska,Pres,3,37.89,59.42,-21.54
Arizona,Pres,10,44.91,53.39,-8.48
Arkansas,Pres,6,38.86,58.72,-19.85
California,Pres,55,60.92,36.9,24.02
Colorado,Pres,9,53.66,44.71,8.95
Connecticut,Pres,7,60.59,38.22,22.37
D.C.,Pres,3,92.46,6.53,85.92
Delaware,Pres,3,61.91,36.93,24.98
Florida,Pres,27,50.91,48.1,2.81
Georgia,Pres,15,46.9,52.1,-5.2
Hawaii,Pres,4,71.85,26.58,45.26
Idaho,Pres,4,35.91,61.21,-25.3
Illinois,Pres,21,61.83,36.73,25.1
Indiana,Pres,11,49.84,48.81,1.03
Iowa,Pres,7,53.93,44.39,9.53
Kansas,Pres,6,41.55,56.48,-14.92
Kentucky,Pres,8,41.15,57.37,-16.22
Louisiana,Pres,9,39.93,58.56,-18.63
Maine,Pres,2,57.71,40.38,17.32
ME-1,Pres,1,60.51,40.38,20.13
ME-2,Pres,1,54.61,43.35,11.26
Maryland,Pres,10,61.92,36.47,25.44
Massachusetts,Pres,12,61.8,35.99,25.81
Michigan,Pres,17,57.33,40.89,16.44
Minnesota,Pres,10,54.06,43.82,10.24
Mississippi,Pres,6,43,56.17,-13.17
Missouri,Pres,11,49.23,49.36,-0.13
Montana,Pres,3,47.11,49.49,-2.38
NE-1,Pres,1,44.33,54.1,-9.77
NE-2,Pres,1,49.97,48.75,1.22
NE-3,Pres,1,29.63,68.64,-39.01
Nebraska,Pres,2,41.6,56.53,-14.93
Nevada,Pres,5,55.15,42.65,12.49
New Hampshire,Pres,4,54.13,44.52,9.61
New Jersey,Pres,15,57.14,41.61,15.53
New Mexico,Pres,5,56.91,41.78,15.13
New York,Pres,31,62.88,36.03,26.86
North Carolina,Pres,15,49.7,49.38,0.33
North Dakota,Pres,3,44.5,53.15,-8.65
Ohio,Pres,20,51.38,46.8,4.58
Oklahoma,Pres,7,34.35,65.65,-31.29
Oregon,Pres,7,56.75,40.4,16.35
Pennsylvania,Pres,21,54.47,44.15,10.31
Rhode Island,Pres,4,62.86,35.06,27.81
South Carolina,Pres,8,44.9,53.87,-8.98
South Dakota,Pres,3,44.75,53.16,-8.41
Tennessee,Pres,11,41.79,56.85,-15.06
Texas,Pres,34,43.63,55.38,-11.75
Utah,Pres,5,34.17,62.15,-27.98
Vermont,Pres,3,67.46,30.45,37.01
Virginia,Pres,13,52.63,46.33,6.3
Washington,Pres,11,57.34,40.26,17.08
West Virginia,Pres,5,42.49,55.58,-13.09
Wisconsin,Pres,10,56.22,42.31,13.9
Wyoming,Pres,3,32.54,64.78,-32.24
Alabama,Senate,1,36.52,63.36,-26.84
Alaska,Senate,1,47.77,46.52,1.25
Arkansas,Senate,1,100,0,100
Colorado,Senate,1,52.8,42.49,10.31
Delaware,Senate,1,64.69,35.31,29.38
