id,Type,EV,DemPct,RepPct,Margin
Alabama,Pres,9,34.36,62.08,-27.73
Alaska,Pres,3,36.55,51.28,-14.73
Arizona,Pres,11,44.58,48.08,-3.5
Arkansas,Pres,6,33.65,60.57,-26.92
California,Pres,55,61.46,31.48,29.98
Colorado,Pres,9,48.16,43.25,4.91
Connecticut,Pres,7,54.57,40.93,13.64
D.C.,Pres,3,90.86,4.09,86.78
Delaware,Pres,3,53.09,41.71,11.37
Florida,Pres,29,47.41,48.6,-1.19
Georgia,Pres,16,45.29,50.38,-5.09
Hawaii,Pres,4,62.22,30.04,32.18
Idaho,Pres,4,27.48,59.25,-31.76
Illinois,Pres,20,55.24,38.35,16.88
Indiana,Pres,11,37.43,56.42,-18.99
Iowa,Pres,6,41.74,51.15,-9.41
Kansas,Pres,6,35.66,56.03,-20.38
Kentucky,Pres,8,32.68,62.52,-29.84
Louisiana,Pres,8,38.45,58.09,-19.64
Maine,Pres,2,47.83,44.87,2.96
ME-1,Pres,1,54.1,39.3,14.8
ME-2,Pres,1,41.1,51.4,-10.3
Maryland,Pres,10,60.33,33.91,26.42
Massachusetts,Pres,11,60.01,32.81,27.2
Michigan,Pres,16,47.03,47.25,-0.22
Minnesota,Pres,10,46.44,44.93,1.51
Mississippi,Pres,6,40.06,57.86,-17.8
Missouri,Pres,10,37.87,56.38,-18.51
Montana,Pres,3,35.41,55.65,-20.23
NE-1,Pres,1,36.2,57.5,-21.3
NE-2,Pres,1,46,48.2,-2.2
NE-3,Pres,1,20,74.9,-54.9
Nebraska,Pres,2,33.7,58.75,-25.05
Nevada,Pres,6,47.92,45.5,2.42
New Hampshire,Pres,4,46.83,46.46,0.37
New Jersey,Pres,14,54.99,41,13.98
New Mexico,Pres,5,48.26,40.04,8.21
New York,Pres,29,59,36.51,22.49
North Carolina,Pres,15,46.17,49.83,-3.66
North Dakota,Pres,3,27.23,62.96,-35.73
Ohio,Pres,18,43.24,51.31,-8.07
Oklahoma,Pres,7,28.93,65.32,-36.39
Oregon,Pres,7,50.07,39.09,10.98
Pennsylvania,Pres,20,47.45,48.17,-0.72
Rhode Island,Pres,4,54.41,38.9,15.51
South Carolina,Pres,9,40.67,54.94,-14.27
South Dakota,Pres,3,31.74,61.53,-29.79
Tennessee,Pres,11,34.72,60.72,-26.01
Texas,Pres,38,43.12,52.09,-8.97
Utah,Pres,6,27.16,45.05,-17.88
Vermont,Pres,3,56.68,30.27,26.41
Virginia,Pres,13,49.75,44.43,5.32
Washington,Pres,12,52.54,36.83,15.71
West Virginia,Pres,5,26.18,67.85,-41.67
Wisconsin,Pres,10,46.45,47.22,-0.76
Wyoming,Pres,3,21.88,68.17,-46.3
AK-AL,House,1,36.02,50.32,-14.30
AL-01,House,1,0.00,100.00,-100.00
AL-02,House,1,40.53,48.77,-8.24
AL-03,House,1,32.93,66.93,-34.00
AL-04,House,1,0.00,100.00,-100.00
AL-05,House,1,33.16,66.70,-33.54
AL-06,House,1,25.42,74.49,-49.07
AL-07,House,1,100.00,0.00,100.00
AR-01,House,1,23.72,76.28,-52.56
AR-02,House,1,36.81,58.34,-21.53
AR-03,House,1,22.68,77.32,-54.64
AR-04,House,1,25.10,74.90,-49.81
AZ-01,House,1,50.66,43.37,7.29
AZ-02,House,1,43.04,56.96,-13.92
AZ-03,House,1,100.00,0.00,100.00
AZ-04,House,1,28.55,71.45,-42.91
AZ-05,House,1,35.90,64.10,-28.19
AZ-06,House,1,37.87,62.13,-24.26
AZ-07,House,1,75.22,24.74,50.49
AZ-08,House,1,31.43,68.55,-37.12
AZ-09,House,1,60.92,39.04,21.88
CA-01,House,1,40.95,59.05,-18.11
CA-02,House,1,76.85,23.15,53.70
CA-03,House,1,59.35,40.65,18.70
CA-04,House,1,37.28,62.72,-25.44
CA-05,House,1,76.87,23.13,53.74
CA-06,House,1,75.43,24.57,50.85
CA-07,House,1,51.17,48.83,2.34
CA-08,House,1,37.74,62.26,-24.52
