id,Type,EV,DemPct,RepPct,Margin
AK-AL,House,1,17.28,74.51,-57.23
AL-01,House,1,37.78,60.5,-22.72
AL-02,House,1,29.52,68.75,-39.23
AL-03,House,1,48.2,50.31,-2.11
AL-04,House,1,12.95,86.72,-73.77
AL-05,House,1,73.28,24.71,48.57
AL-06,House,1,9.9,89.83,-79.93
AL-07,House,1,92.44,7.28,85.16
AR-01,House,1,66.84,33.16,33.67
AR-02,House,1,100,0,100
AR-03,House,1,0,100,-100
AR-04,House,1,60.56,39.44,21.12
AZ-01,House,1,45.64,49.21,-3.57
AZ-02,House,1,36.55,59.92,-23.37
AZ-03,House,1,30.29,67.32,-37.03
AZ-04,House,1,67.38,27.82,39.56
AZ-05,House,1,36.25,61.17,-24.92
AZ-06,House,1,31.57,65.94,-34.37
AZ-07,House,1,59,37.06,21.94
AZ-08,House,1,33.59,63.33,-29.74
CA-01,House,1,64.07,32.4,31.67
CA-02,House,1,29.31,65.79,-36.48
CA-03,House,1,34.44,62.45,-28.01
CA-04,House,1,31.89,64.77,-32.88
CA-05,House,1,70.47,26.41,44.06
CA-06,House,1,66.69,29.61,37.08
CA-07,House,1,70.71,26.44,44.27
CA-08,House,1,79.58,12.5,67.08
CA-09,House,1,81.41,15.18,66.24
CA-10,House,1,75.59,24.41,51.19
CA-11,House,1,39.69,60.31,-20.63
CA-12,House,1,68.13,24.76,43.37
CA-13,House,1,71.06,22.06,49
CA-14,House,1,68.18,28.16,40.02
CA-15,House,1,65.77,31.01,34.75
CA-16,House,1,67.02,29.8,37.22
CA-17,House,1,68.07,27.02,41.06
CA-18,House,1,51.26,43.37,7.9
CA-19,House,1,30.04,67.31,-37.27
CA-20,House,1,63.7,34.28,29.42
CA-21,House,1,26.24,70.49,-44.25
CA-22,House,1,23.73,73.33,-49.6
CA-23,House,1,59.03,38.59,20.43
CA-24,House,1,31.76,65.18,-33.42
CA-25,House,1,31.1,64.97,-33.86
CA-26,House,1,33.49,63.77,-30.28
CA-27,House,1,61.96,38.04,23.93
CA-28,House,1,71.4,23.16,48.24
CA-29,House,1,62.56,33.42,29.14
CA-30,House,1,70.37,29.63,40.74
CA-31,House,1,81.15,18.85,62.3
CA-32,House,1,68.79,27.46,41.33
CA-33,House,1,82.55,14.1,68.45
CA-34,House,1,74.04,25.96,48.07
CA-35,House,1,77.51,19.37,58.14
CA-36,House,1,61.35,35.01,26.34
CA-37,House,1,72.92,23.16,49.75
CA-38,House,1,71.11,26.27,44.84
CA-39,House,1,54.81,40.82,13.98
CA-40,House,1,29.47,67.64,-38.17
CA-41,House,1,29.63,67.38,-37.76
CA-42,House,1,28.98,67.8,-38.82
CA-43,House,1,66.39,30.47,35.93
CA-44,House,1,31.56,63.66,-32.1
CA-45,House,1,32.72,65.23,-32.51
CA-46,House,1,34.54,61.73,-27.18
CA-47,House,1,60.56,34.69,25.87
CA-48,House,1,28.44,68.44,-40
CA-49,House,1,21.95,77.22,-55.27
