id,Type,EV,DemPct,RepPct,Margin
AK-AL,House,1,54.96,45.04,9.92
AL-01,House,1,15.68,83.61,-67.93
AL-02,House,1,29.16,69.09,-39.93
AL-03,House,1,25.14,71.22,-46.08
AL-04,House,1,13.64,84.12,-70.48
AL-05,House,1,29.55,67.09,-37.54
AL-06,House,1,15.11,83.73,-68.62
AL-07,House,1,63.54,34.76,28.78
AR-01,House,1,26.20,73.80,-47.60
AR-02,House,1,35.26,60.04,-24.79
AR-03,House,1,32.89,63.69,-30.80
AR-04,House,1,26.19,71.00,-44.81
AZ-01,House,1,49.56,50.44,-0.88
AZ-02,House,1,46.12,53.86,-7.74
AZ-03,House,1,76.98,23.02,53.96
AZ-04,House,1,56.10,43.89,12.21
AZ-05,House,1,37.39,56.74,-19.35
AZ-06,House,1,49.23,50.73,-1.50
AZ-07,House,1,64.54,35.46,29.09
AZ-08,House,1,0.00,100.00,-100.00
AZ-09,House,1,0.00,100.00,-100.00
CA-01,House,1,37.93,62.07,-24.15
CA-02,House,1,74.40,25.60,48.81
CA-03,House,1,46.35,53.65,-7.30
CA-04,House,1,67.80,32.20,35.60
CA-05,House,1,38.69,61.31,-22.62
CA-06,House,1,55.95,44.05,11.89
CA-07,House,1,68.26,31.74,36.52
CA-08,House,1,75.73,24.27,51.46
CA-09,House,1,54.82,45.18,9.63
CA-10,House,1,100.00,0.00,100.00
CA-11,House,1,83.95,16.05,67.90
CA-12,House,1,90.47,9.53,80.95
CA-13,House,1,49.79,50.21,-0.42
CA-14,House,1,69.34,30.66,38.68
CA-15,House,1,100.00,0.00,100.00
CA-16,House,1,100.00,0.00,100.00
CA-17,House,1,70.93,29.07,41.86
CA-18,House,1,65.85,34.15,31.71
CA-19,House,1,68.65,31.35,37.30
CA-20,House,1,32.75,67.25,-34.49
CA-21,House,1,54.18,45.82,8.36
CA-22,House,1,48.48,51.52,-3.05
CA-23,House,1,38.97,61.03,-22.05
CA-24,House,1,60.57,39.43,21.13
CA-25,House,1,57.38,42.62,14.76
