id,Type,EV,DemPct,RepPct,Margin
AK-AL,House,1,40.97,50.97,-10.00
AL-01,House,1,31.71,68.16,-36.44
AL-02,House,1,32.56,67.34,-34.78
AL-03,House,1,33.72,66.12,-32.40
AL-04,House,1,0.00,100.00,-100.00
AL-05,House,1,25.17,74.42,-49.26
AL-06,House,1,23.70,76.18,-52.48
AL-07,House,1,100.00,0.00,100.00
AR-01,House,1,32.38,63.25,-30.87
AR-02,House,1,43.60,51.86,-8.26
AR-03,House,1,20.59,79.41,-58.83
AR-04,House,1,42.57,53.75,-11.18
AZ-01,House,1,52.61,47.39,5.22
AZ-02,House,1,49.94,50.01,-0.07
AZ-03,House,1,55.72,44.23,11.50
AZ-04,House,1,25.79,69.96,-44.17
AZ-05,House,1,30.42,69.58,-39.16
AZ-06,House,1,35.14,64.86,-29.72
AZ-07,House,1,74.85,14.79,60.07
AZ-08,House,1,24.19,75.81,-51.62
AZ-09,House,1,54.68,41.86,12.81
CA-01,House,1,38.97,61.03,-22.06
CA-02,House,1,74.99,25.01,49.98
CA-03,House,1,52.72,47.28,5.45
CA-04,House,1,0.00,100.00,-100.00
CA-05,House,1,75.73,24.27,51.46
CA-06,House,1,72.69,27.31,45.38
CA-07,House,1,50.40,49.60,0.79
CA-08,House,1,32.35,67.65,-35.29
CA-09,House,1,52.37,47.63,4.74
CA-10,House,1,43.85,56.15,-12.30
CA-11,House,1,67.27,32.73,34.55
CA-12,House,1,83.25,16.75,66.51
CA-13,House,1,88.48,11.52,76.96
CA-14,House,1,76.70,23.30,53.39
CA-15,House,1,69.81,30.19,39.61
CA-16,House,1,50.73,49.27,1.46
CA-17,House,1,100.00,0.00,100.00
CA-18,House,1,67.75,32.25,35.51
CA-19,House,1,100.00,0.00,100.00
CA-20,House,1,75.18,24.82,50.36
CA-21,House,1,42.17,57.83,-15.67
CA-22,House,1,27.96,72.04,-44.07
CA-23,House,1,25.16,74.84,-49.68
CA-24,House,1,51.93,48.07,3.85
CA-25,House,1,0.00,100.00,-100.00
CA-26,House,1,51.33,48.67,2.66
CA-27,House,1,59.36,40.64,18.71
CA-28,House,1,76.50,23.50,52.99
CA-29,House,1,74.61,25.39,49.23
CA-30,House,1,65.64,34.36,31.28
CA-31,House,1,51.73,48.27,3.47
CA-32,House,1,59.66,40.34,19.31
CA-33,House,1,59.19,40.81,18.37
CA-34,House,1,100.00,0.00,100.00
CA-35,House,1,100.00,0.00,100.00
CA-36,House,1,54.18,45.82,8.37
CA-37,House,1,84.28,15.72,68.56
CA-38,House,1,59.09,40.91,18.18
CA-39,House,1,31.46,68.54,-37.09
CA-40,House,1,100.00,0.00,100.00
CA-41,House,1,56.64,43.36,13.29
CA-42,House,1,34.26,65.74,-31.48
CA-43,House,1,70.96,29.04,41.91
CA-44,House,1,100.00,0.00,100.00
CA-45,House,1,34.88,65.12,-30.24
CA-46,House,1,59.70,40.30,19.40
CA-47,House,1,55.99,44.01,11.98
CA-48,House,1,35.88,64.12,-28.24
CA-49,House,1,39.83,60.17,-20.34
CA-50,House,1,28.80,71.20,-42.40
CA-51,House,1,68.79,31.21,37.58
CA-52,House,1,51.59,48.41,3.17
CA-53,House,1,58.84,41.16,17.67
CO-01,House,1,65.81,28.97,36.84
CO-02,House,1,56.74,43.26,13.49
CO-03,House,1,35.70,57.98,-22.28
CO-04,House,1,29.22,64.67,-35.45
CO-05,House,1,40.20,59.80,-19.60
CO-06,House,1,42.99,51.90,-8.91
CO-07,House,1,55.07,44.93,10.15
CT-01,House,1,58.49,36.08,22.41
CT-02,House,1,57.60,35.46,22.14
CT-03,House,1,61.93,33.08,28.84
CT-04,House,1,51.01,44.37,6.64
CT-05,House,1,49.82,43.32,6.49
DE-AL,House,1,59.26,36.76,22.50
FL-01,House,1,23.36,70.15,-46.79
