id,Type,EV,DemPct,RepPct,Margin
Alabama,Pres,9,34.1,64.57,-30.47
Alaska,Pres,3,41.41,54.54,-13.14
Arizona,Pres,11,46.54,52.05,-5.51
Arkansas,Pres,6,33.56,64.2,-30.64
California,Pres,54,58.38,38.28,20.1
Colorado,Pres,10,54.13,43.14,10.98
Connecticut,Pres,7,56.4,41.89,14.5
D.C.,Pres,3,90.28,6.47,83.31
Delaware,Pres,3,56.49,41.79,14.7
Florida,Pres,30,42.82,55.87,-13.05
Georgia,Pres,16,48.3,50.48,-2.18
Hawaii,Pres,4,60.59,37.48,23.1
Idaho,Pres,4,30.26,66.61,-36.35
Illinois,Pres,19,54.19,43.33,10.86
Indiana,Pres,11,39.52,58.42,-18.9
Iowa,Pres,6,42.52,55.73,-13.21
Kansas,Pres,6,40.8,56.82,-16.02
Kentucky,Pres,8,33.9,64.4,-30.5
Louisiana,Pres,8,38.21,60.22,-22.01
Maine,Pres,2,52.4,45.46,6.94
ME-1,Pres,1,59.69,38.09,21.6
ME-2,Pres,1,44.46,53.5,-9.05
Maryland,Pres,10,62.62,34.08,28.54
Massachusetts,Pres,11,61.22,36.02,25.2
Michigan,Pres,15,48.22,49.63,-1.41
Minnesota,Pres,10,50.92,46.68,4.24
Mississippi,Pres,6,37.95,60.81,-22.86
Missouri,Pres,10,39.97,58.32,-18.35
Montana,Pres,4,38.38,58.27,-19.89
NE-1,Pres,1,42.52,55.49,-12.96
NE-2,Pres,1,51.32,46.73,4.59
NE-3,Pres,1,22.44,76.03,-53.6
Nebraska,Pres,2,38.86,59.32,-20.46
Nevada,Pres,6,47.49,50.59,-3.1
New Hampshire,Pres,4,50.65,47.87,2.78
New Jersey,Pres,14,51.78,45.9,5.89
New Mexico,Pres,5,51.85,45.85,6
New York,Pres,28,55.62,43.1,12.52
North Carolina,Pres,16,47.65,50.86,-3.21
North Dakota,Pres,3,30.51,66.96,-36.45
Ohio,Pres,17,43.68,54.82,-11.14
Oklahoma,Pres,7,31.9,66.16,-34.26
Oregon,Pres,8,55.27,40.97,14.31
Pennsylvania,Pres,19,48.5,50.2,-1.7
Rhode Island,Pres,4,55.54,41.76,13.78
South Carolina,Pres,9,40.36,58.23,-17.87
South Dakota,Pres,3,34.24,63.43,-29.19
Tennessee,Pres,11,34.38,64.01,-29.64
Texas,Pres,40,42.37,56.03,-13.66
Utah,Pres,6,37.17,58.4,-21.23
Vermont,Pres,3,63.83,32.32,31.51
Virginia,Pres,13,51.83,46.05,5.78
Washington,Pres,12,57.23,39.01,18.22
West Virginia,Pres,4,28.06,69.85,-41.79
Wisconsin,Pres,10,48.74,49.6,-0.86
Wyoming,Pres,3,25.84,71.6,-45.76
AK-AL,House,1,48.78,51.22,-2.04
AL-01,House,1,21.5,78.4,-56.9
AL-02,House,1,54.56,45.37,9.19
AL-03,House,1,0,100,-100
AL-04,House,1,0,100,-100
AL-05,House,1,0,100,-100
AL-06,House,1,29.57,70.32,-40.75
AL-07,House,1,63.68,36.26,27.42
AR-01,House,1,24,72.88,-48.88
AR-02,House,1,41.07,58.93,-17.87
AR-03,House,1,31.77,63.8,-32.03
AR-04,House,1,27.09,72.91,-45.82
AZ-01,House,1,48.09,51.91,-3.81
AZ-02,House,1,45.51,54.48,-8.97
AZ-03,House,1,70.94,26.58,44.36
AZ-04,House,1,52.74,45.45,7.29
AZ-05,House,1,39.61,60.39,-20.78
AZ-06,House,1,47.49,50,-2.51
AZ-07,House,1,63.45,36.55,26.9
AZ-08,House,1,43.5,56.5,-13
AZ-09,House,1,34.7,65.3,-30.6
CA-01,House,1,34.66,65.34,-30.69
CA-02,House,1,71.88,28.12,43.77
CA-03,House,1,44.53,55.47,-10.93
CA-04,House,1,66.46,33.54,32.91
CA-05,House,1,38.23,61.77,-23.53
CA-06,House,1,57.62,42.38,15.24
CA-07,House,1,66.75,33.25,33.5
CA-08,House,1,73.97,26.03,47.94
CA-09,House,1,51.79,48.21,3.58
CA-10,House,1,66.47,33.53,32.95
CA-11,House,1,81.03,18.97,62.07
CA-12,House,1,100,0,100
CA-13,House,1,50.04,49.96,0.09
CA-14,House,1,67.75,32.25,35.51
CA-15,House,1,73.1,26.9,46.19
CA-16,House,1,100,0,100
CA-17,House,1,67.66,32.34,35.33
CA-18,House,1,64.63,35.37,29.25
CA-19,House,1,69.3,30.7,38.59
CA-20,House,1,0,100,-100
CA-21,House,1,52.57,47.43,5.15
CA-22,House,1,46.58,53.42,-6.84
CA-23,House,1,39.86,60.14,-20.28
CA-24,House,1,62.7,37.3,25.39
CA-25,House,1,56.25,43.75,12.51
CA-26,House,1,56.05,43.95,12.11
CA-27,House,1,51.33,48.67,2.66
CA-28,House,1,64.93,35.07,29.86
CA-29,House,1,69.78,30.22,39.55
CA-30,House,1,68.38,31.62,36.75
CA-31,House,1,59.73,40.27,19.46
CA-32,House,1,66.2,33.8,32.4
CA-33,House,1,58.81,41.19,17.63
CA-34,House,1,100,0,100
CA-35,House,1,58.41,41.59,16.81
CA-36,House,1,68.72,31.28,37.44
CA-37,House,1,78.3,21.7,56.59
CA-38,House,1,59.84,40.16,19.68
CA-39,House,1,56.69,43.31,13.38
CA-40,House,1,44.74,55.26,-10.52
CA-41,House,1,48.31,51.69,-3.38
CA-42,House,1,68.14,31.86,36.28
CA-43,House,1,75.07,24.93,50.15
CA-44,House,1,71.37,28.63,42.75
CA-45,House,1,50.1,49.9,0.21
CA-46,House,1,63.43,36.57,26.85
CA-47,House,1,51.44,48.56,2.88
CA-48,House,1,40.71,59.29,-18.59
CA-49,House,1,52.17,47.83,4.35
CA-50,House,1,64.27,35.73,28.55
CA-51,House,1,60.7,39.3,21.39
CA-52,House,1,66.31,33.69,32.62
CO-01,House,1,76.53,21.58,54.96
CO-02,House,1,68.36,28.94,39.42
CO-03,House,1,45.82,50.8,-4.98
CO-04,House,1,42.04,53.64,-11.6
CO-05,House,1,40.87,54.66,-13.8
CO-06,House,1,58.97,38.45,20.51
CO-07,House,1,55.33,41.15,14.18
CO-08,House,1,48.22,48.95,-0.73
CT-01,House,1,59.85,34.82,25.03
CT-02,House,1,58.01,41.98,16.03
CT-03,House,1,58.88,39.55,19.33
CT-04,House,1,61.06,37.34,23.72
CT-05,House,1,50.75,46.58,4.17
DE-AL,House,1,57.86,42.14,15.73
FL-01,House,1,33.96,66.04,-32.07
FL-02,House,1,38.36,61.64,-23.28
FL-03,House,1,38.39,61.61,-23.22
FL-04,House,1,42.72,57.26,-14.54
FL-05,House,1,36.92,63.07,-26.15
FL-06,House,1,33.46,66.53,-33.07
FL-07,House,1,43.47,56.53,-13.05
FL-08,House,1,37.76,62.24,-24.48
FL-09,House,1,55.13,42.58,12.55
FL-10,House,1,62.37,37.63,24.75
FL-11,House,1,39.62,60.38,-20.75
FL-12,House,1,28.96,71.04,-42.08
FL-13,House,1,45.17,54.82,-9.65
FL-14,House,1,56.95,41.59,15.36
FL-15,House,1,43.82,56.18,-12.36
FL-16,House,1,40.52,59.48,-18.96
FL-17,House,1,36.1,63.9,-27.81
FL-18,House,1,34.7,65.3,-30.61
FL-19,House,1,33.68,66.32,-32.63
FL-20,House,1,100,0,100
FL-21,House,1,38.17,61.82,-23.65
FL-22,House,1,54.96,45.04,9.91
FL-23,House,1,52.45,47.55,4.89
FL-24,House,1,68.24,31.76,36.48
FL-25,House,1,54.47,45.52,8.96
FL-26,House,1,29.08,70.92,-41.83
FL-27,House,1,39.62,60.38,-20.75
FL-28,House,1,35.43,64.57,-29.13
GA-01,House,1,38.02,61.98,-23.97
GA-02,House,1,56.33,43.67,12.66
GA-03,House,1,33.69,66.31,-32.61
GA-04,House,1,75.58,24.42,51.17
GA-05,House,1,85.68,14.32,71.36
GA-06,House,1,74.68,25.32,49.37
GA-07,House,1,35.15,64.85,-29.7
GA-08,House,1,31.08,68.92,-37.83
GA-09,House,1,31,69,-38.01
GA-10,House,1,36.95,63.05,-26.1
GA-11,House,1,32.69,67.31,-34.62
GA-12,House,1,39.68,60.32,-20.64
GA-13,House,1,71.83,28.17,43.67
GA-14,House,1,35.63,64.37,-28.74
HI-01,House,1,65.32,25.6,39.72
HI-02,House,1,61.39,27.87,33.52
IA-01,House,1,49.79,49.98,-0.19
IA-02,House,1,41.52,57.08,-15.56
IA-03,House,1,47.94,51.77,-3.82
IA-04,House,1,32.68,67.02,-34.33
ID-01,House,1,24.26,67.69,-43.43
ID-02,House,1,29.46,58.37,-28.91
IL-01,House,1,65.84,34.14,31.7
IL-02,House,1,67.55,32.43,35.11
IL-03,House,1,67.26,32.7,34.57
IL-04,House,1,67.51,27.29,40.22
IL-05,House,1,68.97,31.03,37.94
IL-06,House,1,54.2,45.78,8.41
IL-07,House,1,83.25,16.69,66.56
IL-08,House,1,57.06,42.94,14.11
IL-09,House,1,68.39,31.61,36.78
IL-10,House,1,59.93,39.99,19.94
IL-11,House,1,55.56,44.38,11.18
IL-12,House,1,25.81,74.19,-48.39
IL-13,House,1,58.07,41.86,16.21
IL-14,House,1,55.1,44.89,10.21
IL-15,House,1,0,100,-100
IL-16,House,1,0,100,-100
IL-17,House,1,54.43,45.57,8.85
IN-01,House,1,53.44,44.95,8.49
IN-02,House,1,34.61,62.74,-28.13
IN-03,House,1,31.42,65.05,-33.63
IN-04,House,1,30.93,64.83,-33.9
IN-05,House,1,38.02,56.6,-18.58
IN-06,House,1,31.7,63.94,-32.24
