id,Type,EV,DemPct,RepPct,Margin
Alabama,Pres,9,38.36,60.55,-22.19
Alaska,Pres,3,40.81,54.8,-13.99
Arizona,Pres,11,44.45,53.48,-9.04
Arkansas,Pres,6,36.88,60.57,-23.69
California,Pres,55,60.16,37.07,23.09
Colorado,Pres,9,51.45,46.09,5.36
Connecticut,Pres,7,58.06,40.72,17.33
D.C.,Pres,3,90.91,7.28,83.63
Delaware,Pres,3,58.61,39.98,18.63
Florida,Pres,29,49.9,49.03,0.88
Georgia,Pres,16,45.39,53.19,-7.8
Hawaii,Pres,4,70.55,27.84,42.71
Idaho,Pres,4,32.4,64.09,-31.69
Illinois,Pres,20,57.5,40.66,16.84
Indiana,Pres,11,43.84,54.04,-10.2
Iowa,Pres,6,51.99,46.18,5.81
Kansas,Pres,6,38.05,59.66,-21.61
Kentucky,Pres,8,37.78,60.47,-22.68
Louisiana,Pres,8,40.58,57.78,-17.21
Maine,Pres,2,56.27,40.98,15.29
ME-1,Pres,1,59.6,38.2,21.4
ME-2,Pres,1,52.9,44.4,8.5
Maryland,Pres,10,61.97,35.9,26.08
Massachusetts,Pres,11,60.67,37.52,23.15
Michigan,Pres,16,54.04,44.58,9.47
Minnesota,Pres,10,52.65,44.96,7.69
Mississippi,Pres,6,43.79,55.29,-11.5
Missouri,Pres,10,44.28,53.64,-9.36
Montana,Pres,3,41.66,55.3,-13.64
NE-1,Pres,1,40.8,57.4,-16.6
NE-2,Pres,1,45.7,52.9,-7.2
NE-3,Pres,1,27.8,70.2,-42.4
Nebraska,Pres,2,38.03,59.8,-21.78
Nevada,Pres,6,52.36,45.68,6.68
New Hampshire,Pres,4,51.98,46.4,5.58
New Jersey,Pres,14,58.25,40.5,17.74
New Mexico,Pres,5,52.99,42.84,10.15
New York,Pres,29,63.35,35.17,28.18
North Carolina,Pres,15,48.35,50.39,-2.04
North Dakota,Pres,3,38.69,58.32,-19.63
Ohio,Pres,18,50.58,47.6,2.97
Oklahoma,Pres,7,33.23,66.77,-33.54
Oregon,Pres,7,54.24,42.15,12.09
Pennsylvania,Pres,20,51.96,46.58,5.38
Rhode Island,Pres,4,62.7,35.24,27.46
South Carolina,Pres,9,44.09,54.56,-10.47
South Dakota,Pres,3,39.87,57.89,-18.02
Tennessee,Pres,11,39.04,59.42,-20.38
Texas,Pres,38,41.35,57.13,-15.77
Utah,Pres,6,24.67,72.55,-47.88
Vermont,Pres,3,66.57,30.97,35.6
Virginia,Pres,13,51.16,47.28,3.87
Washington,Pres,12,55.8,41.03,14.77
West Virginia,Pres,5,35.45,62.14,-26.69
Wisconsin,Pres,10,52.83,45.89,6.94
Wyoming,Pres,3,27.82,68.64,-40.82
AK-AL,House,1,28.61,63.94,-35.32
AL-01,House,1,0.00,100.00,-100.00
AL-02,House,1,36.31,63.60,-27.29
AL-03,House,1,35.83,64.00,-28.17
AL-04,House,1,25.90,73.97,-48.07
AL-05,House,1,34.94,64.95,-30.01
AL-06,House,1,28.65,71.17,-42.52
AL-07,House,1,75.85,24.09,51.76
AR-01,House,1,39.13,56.23,-17.10
AR-02,House,1,39.48,55.19,-15.71
AR-03,House,1,16.01,75.90,-59.90
AR-04,House,1,36.69,59.53,-22.84
AZ-01,House,1,48.80,45.15,3.65
AZ-02,House,1,50.41,49.57,0.84
AZ-03,House,1,58.37,37.15,21.22
AZ-04,House,1,28.37,66.83,-38.46
AZ-05,House,1,32.81,67.19,-34.38
AZ-06,House,1,33.31,61.30,-27.98
AZ-07,House,1,81.74,18.26,63.49
AZ-08,House,1,35.06,63.35,-28.29
AZ-09,House,1,48.73,44.63,4.10
CA-01,House,1,42.62,57.38,-14.77
CA-02,House,1,71.24,28.76,42.49
CA-03,House,1,54.23,45.77,8.46
CA-04,House,1,38.89,61.11,-22.22
CA-05,House,1,74.47,25.53,48.94
CA-06,House,1,75.05,24.95,50.10
CA-07,House,1,51.68,48.32,3.36
CA-08,House,1,0.00,100.00,-100.00
CA-09,House,1,55.55,44.45,11.11
CA-10,House,1,47.29,52.71,-5.42
CA-11,House,1,69.73,30.27,39.46
CA-12,House,1,85.08,14.92,70.17
CA-13,House,1,86.78,13.22,73.56
CA-14,House,1,78.92,21.08,57.83
CA-15,House,1,100.00,0.00,100.00
CA-16,House,1,57.41,42.59,14.82
CA-17,House,1,73.54,26.46,47.09
CA-18,House,1,70.49,29.51,40.98
CA-19,House,1,73.24,26.76,46.47
CA-20,House,1,74.07,25.93,48.14
CA-21,House,1,42.24,57.76,-15.52
CA-22,House,1,38.12,61.88,-23.76
CA-23,House,1,26.78,73.22,-46.44
CA-24,House,1,55.10,44.90,10.19
CA-25,House,1,45.22,54.78,-9.56
CA-26,House,1,52.69,47.31,5.38
CA-27,House,1,63.98,36.02,27.96
CA-28,House,1,76.49,23.51,52.97
CA-29,House,1,74.05,25.95,48.11
CA-30,House,1,100.00,0.00,100.00
CA-31,House,1,0.00,100.00,-100.00
CA-32,House,1,65.70,34.30,31.40
CA-33,House,1,53.96,46.04,7.91
CA-34,House,1,85.62,14.38,71.23
CA-35,House,1,100.00,0.00,100.00
CA-36,House,1,52.94,47.06,5.88
CA-37,House,1,86.42,13.58,72.83
CA-38,House,1,67.54,32.46,35.09
CA-39,House,1,42.21,57.79,-15.58
CA-40,House,1,58.89,,58.89
CA-41,House,1,58.97,41.03,17.94
CA-42,House,1,39.41,60.59,-21.19
CA-43,House,1,100.00,0.00,100.00
CA-44,House,1,100.00,0.00,100.00
CA-45,House,1,41.54,58.46,-16.92
CA-46,House,1,63.87,36.13,27.75
CA-47,House,1,56.56,43.44,13.12
CA-48,House,1,39.02,60.98,-21.96
CA-49,House,1,41.84,58.16,-16.33
CA-50,House,1,32.31,67.69,-35.38
CA-51,House,1,71.48,28.52,42.96
CA-52,House,1,51.18,48.82,2.36
CA-53,House,1,61.43,38.57,22.86
CO-01,House,1,68.23,26.77,41.46
CO-02,House,1,55.69,38.58,17.11
CO-03,House,1,41.07,53.36,-12.29
CO-04,House,1,36.75,58.42,-21.68
CO-05,House,1,17.35,64.98,-47.63
CO-06,House,1,45.77,47.81,-2.04
CO-07,House,1,53.51,40.79,12.73
CT-01,House,1,64.92,27.71,37.20
CT-02,House,1,63.37,29.47,33.90
CT-03,House,1,67.68,25.31,42.37
CT-04,House,1,57.02,40.04,16.98
CT-05,House,1,48.33,45.28,3.06
DE-AL,House,1,64.41,33.44,30.97
