id,Type,EV,DemPct,RepPct,Margin
AK-AL,House,1,40.01,56.57,-16.56
AL-01,House,1,31.82,68.1,-36.28
AL-02,House,1,30.43,69.47,-39.04
AL-03,House,1,38.45,59.44,-20.99
AL-04,House,1,29.71,70.18,-40.48
AL-05,House,1,100,0,100
AL-06,House,1,0,100,-100
AL-07,House,1,100,0,100
AR-01,House,1,69.26,30.74,38.53
AR-02,House,1,60.53,39.47,21.06
AR-03,House,1,37.77,62.23,-24.46
AR-04,House,1,74.73,25.27,49.46
AZ-01,House,1,43.45,51.75,-8.31
AZ-02,House,1,38.89,58.62,-19.73
AZ-03,House,1,38.23,59.27,-21.03
AZ-04,House,1,72.52,23.92,48.6
AZ-05,House,1,50.41,46.44,3.97
AZ-06,House,1,25.2,74.8,-49.59
AZ-07,House,1,61.09,35.35,25.74
AZ-08,House,1,54.25,42.09,12.16
CA-01,House,1,66.23,28.98,37.25
CA-02,House,1,32.46,64.18,-31.72
CA-03,House,1,37.83,59.48,-21.65
CA-04,House,1,45.87,49.05,-3.18
CA-05,House,1,70.8,23.52,47.28
CA-06,House,1,70.22,26.11,44.11
CA-07,House,1,83.99,16.01,67.99
CA-08,House,1,80.39,10.72,69.67
CA-09,House,1,86.35,10.73,75.62
CA-10,House,1,66.43,33.54,32.89
CA-11,House,1,53.27,46.73,6.53
CA-12,House,1,76.05,23.95,52.09
CA-13,House,1,74.89,25.11,49.77
CA-14,House,1,71.08,24.22,46.86
CA-15,House,1,72.33,27.67,44.67
CA-16,House,1,72.71,27.29,45.42
CA-17,House,1,75.8,22.56,53.25
CA-18,House,1,65.48,34.52,30.95
CA-19,House,1,39.42,60.58,-21.15
CA-20,House,1,100,0,100
CA-21,House,1,29.94,66.74,-36.8
CA-22,House,1,29.3,70.7,-41.41
CA-23,House,1,65.17,34.83,30.35
CA-24,House,1,37.97,62.02,-24.06
CA-25,House,1,35.66,59.95,-24.29
CA-26,House,1,37.89,56.95,-19.06
CA-27,House,1,68.77,31.23,37.54
CA-28,House,1,73.92,19.09,54.83
CA-29,House,1,63.47,27.42,36.05
CA-30,House,1,71.45,26.4,45.05
CA-31,House,1,100,0,100
CA-32,House,1,82.96,17.04,65.91
CA-33,House,1,100,0,100
CA-34,House,1,76.8,23.2,53.6
CA-35,House,1,83.75,8.47,75.28
CA-36,House,1,63.39,31.94,31.45
CA-37,House,1,82.4,17.6,64.79
CA-38,House,1,75.33,24.67,50.66
CA-39,House,1,65.87,34.13,31.74
CA-40,House,1,30.68,66.76,-36.07
CA-41,House,1,33.06,66.91,-33.85
CA-42,House,1,0,100,-100
CA-43,House,1,64.49,35.51,28.98
CA-44,House,1,37.02,59.98,-22.96
CA-45,House,1,39.34,60.66,-21.32
CA-46,House,1,36.69,59.56,-22.87
CA-47,House,1,62.33,37.67,24.66
CA-48,House,1,37.23,59.91,-22.68
CA-49,House,1,33.45,63.3,-29.85
CA-50,House,1,43.5,53.14,-9.64
CA-51,House,1,67.43,30.15,37.28
CA-52,House,1,31.98,64.64,-32.65
CA-53,House,1,67.56,30,37.56
CO-01,House,1,79.77,20.23,59.54
CO-02,House,1,68.24,28.31,39.93
CO-03,House,1,61.59,36.55,25.04
CO-04,House,1,43.12,45.61,-2.49
CO-05,House,1,40.35,59.62,-19.27
CO-06,House,1,39.87,58.61,-18.75
CO-07,House,1,54.93,42.06,12.87
CT-01,House,1,74.44,25.54,48.91
CT-02,House,1,50.02,49.98,0.03
CT-03,House,1,76.01,22.43,53.58
CT-04,House,1,47.58,50.96,-3.38
CT-05,House,1,56.46,43.54,12.93
DE-AL,House,1,38.76,57.17,-18.41
FL-01,House,1,31.46,68.54,-37.07
FL-02,House,1,100,0,100
FL-03,House,1,100,0,100
