id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority
CA-21,760586,0.53546854,0.43730682,0.22102642,0.77897358,0.06229354,0.59494401,0.00398256,0.11184848,0.04318285,537343,0.09816172,Hispanic
CA-22,759472,0.52921004,0.44141545,0.38945388,0.61054612,0.05065455,0.48871648,0.00372089,0.0547058,0.03686117,575131,0.0877945900000001,Hispanic
CA-23,759359,0.35556624,0.61929833,0.52626543,0.47373457,0.06016531,0.31846097,0.00688446,0.06413599,0.04586536,580002,-0.26373209,White
CA-24,759968,0.59106046,0.37827846,0.48388201,0.51611799,0.02429023,0.39536811,0.00460706,0.07904141,0.03924891,596042,0.212782,Minority
CA-25,759987,0.54629699,0.42875953,0.176117,0.823883,0.06076073,0.6246872,0.00887844,0.13876586,0.03373635,583436,0.11753746,Hispanic
CA-26,760824,0.58147492,0.39066825,0.53585878,0.46414122,0.03100418,0.31029908,0.00490336,0.10873659,0.02871225,594694,0.19080667,White
CA-27,760354,0.53595915,0.43450358,0.22393104,0.77606896,0.14321961,0.56615904,0.00527696,0.05961436,0.04416695,558087,0.10145557,Hispanic
CA-28,759425,0.60912986,0.35772956,0.22347966,0.77652034,0.03206587,0.30427917,0.00339445,0.43932344,0.02432471,617479,0.2514003,Asian
CA-29,760082,0.64900774,0.31886658,0.31591421,0.68408579,0.06202472,0.49677233,0.00332371,0.12095957,0.03260073,598729,0.33014116,Hispanic
CA-30,760805,0.67646538,0.29404009,0.63850585,0.36149415,0.04959481,0.14827399,0.00342235,0.15140422,0.01633071,650431,0.38242529,White
CA-31,759880,0.54537615,0.42220869,0.23108351,0.76891649,0.01988775,0.61010013,0.00375074,0.13433115,0.03817727,588151,0.12316746,Hispanic
CA-32,760365,0.54887798,0.42057801,0.42245186,0.57754814,0.05904692,0.33361046,0.00459246,0.17676831,0.0265372,601420,0.12829997,Minority
CA-33,760453,0.54560087,0.42521544,0.18900219,0.81099781,0.11432129,0.61098479,0.00575122,0.08108641,0.03980668,553274,0.12038543,Hispanic
CA-34,760747,0.75316502,0.20395516,0.20099008,0.79900992,0.04183878,0.63833517,0.00306673,0.11695726,0.03967588,605204,0.54920986,Hispanic
CA-35,759961,0.52348014,0.44651948,0.26353991,0.73646009,0.07556874,0.51818003,0.00555874,0.13752533,0.03688499,584845,0.07696066,Hispanic
CA-36,760429,0.68499284,0.28147874,0.55632016,0.44367984,0.05136787,0.1601483,0.00625268,0.21601118,0.01925025,629810,0.4035141,White
CA-37,760605,0.72651021,0.23377008,0.09606051,0.90393949,0.13455032,0.59414014,0.00300294,0.17580924,0.04364108,594417,0.49274013,Hispanic
CA-38,760086,0.54603808,0.4233721,0.13710551,0.86289449,0.03529739,0.48803654,0.00425276,0.33954899,0.02962374,604549,0.12266598,Hispanic
CA-39,759579,0.53721003,0.43212504,0.21052256,0.78947744,0.09442125,0.6164352,0.0064958,0.07164488,0.03906409,560054,0.10508499,Hispanic
CA-40,760845,0.42251643,0.54851641,0.39824529,0.60175471,0.07769387,0.37367799,0.00866626,0.13701591,0.03304364,568642,-0.12599998,Minority
CA-41,759405,0.54315759,0.43564628,0.41269888,0.58730112,0.06312569,0.45705937,0.00440707,0.05214403,0.03777218,583154,0.10751131,Hispanic
CA-42,760838,0.54021158,0.42831204,0.18604722,0.81395278,0.03633579,0.53705173,0.00731646,0.23363716,0.03516394,592226,0.11189954,Hispanic
CA-43,759264,0.78864951,0.18092268,0.13099486,0.86900514,0.34114808,0.42746211,0.00604183,0.10018119,0.03456102,598825,0.60772683,Hispanic
CA-44,759574,0.67612962,0.29311085,0.08709321,0.91290679,0.16115587,0.65377324,0.00956986,0.09592962,0.03896386,571273,0.38301877,Hispanic
CA-45,759523,0.54034893,0.43072668,0.24376206,0.75623794,0.07387506,0.32487869,0.01098467,0.34771426,0.02705787,596832,0.10962225,Asian
CA-46,760674,0.53246411,0.43530368,0.27874754,0.72125246,0.02220485,0.53616754,0.00564698,0.15509195,0.03997011,584737,0.09716043,Hispanic
CA-47,760423,0.53654074,0.43211999,0.49325593,0.50674407,0.06739881,0.26896307,0.00919852,0.15384615,0.02755523,620100,0.10442075,Minority
CA-48,759962,0.55058327,0.41934428,0.53477376,0.46522624,0.05196081,0.26239154,0.00792564,0.12777599,0.0347614,606765,0.13123899,White
CA-49,759468,0.52975939,0.43333379,0.50911754,0.49088246,0.02662358,0.15616315,0.00491421,0.29505557,0.01625024,605591,0.0964256000000001,White
CA-50,760079,0.54940831,0.42086994,0.60531023,0.39468977,0.03734579,0.2167012,0.00901889,0.1178412,0.02540325,621141,0.12853837,White
CA-51,760536,0.56398688,0.40564615,0.52277656,0.47722344,0.03276158,0.22138429,0.00861457,0.20645658,0.02429011,587029,0.15834073,White
CA-52,760092,0.54107048,0.4314065,0.45498233,0.54501767,0.09752812,0.31136034,0.01080769,0.12152435,0.030912,590968,0.10966398,Minority
CO-01,721689,0.76745686,0.20460447,0.58791082,0.41208918,0.09704478,0.24424493,0.00358642,0.05219916,0.03341135,586657,0.56285239,White
CO-02,721072,0.68276248,0.28857468,0.78657968,0.21342032,0.01619734,0.12369672,0.00248284,0.04608871,0.02348376,586022,0.3941878,White
CO-03,721807,0.43879986,0.53611505,0.70164356,0.29835644,0.01487227,0.22727305,0.00257631,0.01433415,0.04850855,568642,-0.0973151900000001,White
CO-04,722069,0.35134212,0.62360616,0.72969143,0.27030857,0.02224892,0.19250656,0.00284916,0.02586204,0.03230033,541914,-0.27226404,White
CO-05,721519,0.45243919,0.51931244,0.69728532,0.30271468,0.07410767,0.15534264,0.00715742,0.04189927,0.03668179,564449,-0.06687325,White
CO-06,722098,0.50896788,0.46451733,0.75832113,0.24167887,0.0418194,0.10044252,0.00317581,0.0760653,0.02349291,545058,0.04445055,White
